s,c,Cleaned_Column
Critical ALERT:  A Baseline Services_Windows component  on CAMI-RODC01 is in a current state of: Down,critical alert  a baseline services_windows component  on camirodc01 is in a current state of down,critical alert  a baseline services_windows component  on camirodc01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on DC03PAPRC01 is in a current state of: Down,critical alert  a baseline services_windows component  on dc03paprc01 is in a current state of down,critical alert  a baseline services_windows component  on dc03paprc01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on CAV-CMDR01 is in a current state of: Down,critical alert  a baseline services_windows component  on cavcmdr01 is in a current state of down,critical alert  a baseline services_windows component  on cavcmdr01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on G-TRAXPRODWEB3 is in a current state of: Down,critical alert  a baseline services_windows component  on gtraxprodweb3 is in a current state of down,critical alert  a baseline services_windows component  on gtraxprodweb3 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on ALFO-RODC01 is in a current state of: Down,critical alert  a baseline services_windows component  on alforodc01 is in a current state of down,critical alert  a baseline services_windows component  on alforodc01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on AUS-ORIONHA01 is in a current state of: Down,critical alert  a baseline services_windows component  on ausorionha01 is in a current state of down,critical alert  a baseline services_windows component  on ausorionha01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on G-SCCM01 is in a current state of: Down,critical alert  a baseline services_windows component  on gsccm01 is in a current state of down,critical alert  a baseline services_windows component  on gsccm01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on AUS-AP-FB01 is in a current state of: Down,critical alert  a baseline services_windows component  on ausapfb01 is in a current state of down,critical alert  a baseline services_windows component  on ausapfb01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on TXAU-FBRDP01 is in a current state of: Down,critical alert  a baseline services_windows component  on txaufbrdp01 is in a current state of down,critical alert  a baseline services_windows component  on txaufbrdp01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on txfw-dc03 is in a current state of: Down,critical alert  a baseline services_windows component  on txfwdc03 is in a current state of down,critical alert  a baseline services_windows component  on txfwdc03 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on TXAU-SQL19-N2 is in a current state of: Down,critical alert  a baseline services_windows component  on txausql19n2 is in a current state of down,critical alert  a baseline services_windows component  on txausql19n2 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on GJDEOHS02 is in a current state of: Down,critical alert  a baseline services_windows component  on gjdeohs02 is in a current state of down,critical alert  a baseline services_windows component  on gjdeohs02 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on VALSIGVM02 is in a current state of: Down,critical alert  a baseline services_windows component  on valsigvm02 is in a current state of down,critical alert  a baseline services_windows component  on valsigvm02 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on AUS-DRSC is in a current state of: Down,critical alert  a baseline services_windows component  on ausdrsc is in a current state of down,critical alert  a baseline services_windows component  on ausdrsc is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on TXAU-FB01 is in a current state of: Down,critical alert  a baseline services_windows component  on txaufb01 is in a current state of down,critical alert  a baseline services_windows component  on txaufb01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on AUSTX-Datamatic is in a current state of: Down,critical alert  a baseline services_windows component  on austxdatamatic is in a current state of down,critical alert  a baseline services_windows component  on austxdatamatic is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on SHARESCANSERVER is in a current state of: Down,critical alert  a baseline services_windows component  on sharescanserver is in a current state of down,critical alert  a baseline services_windows component  on sharescanserver is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on ITMAFILE is in a current state of: Down,critical alert  a baseline services_windows component  on itmafile is in a current state of down,critical alert  a baseline services_windows component  on itmafile is in a current state of down
Warning Alert: Memory Utilization on VALDC01 is : 94 %,warning alert memory utilization on valdc01 is  94 ,warning alert memory utilization on valdc01 is  94 
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Critical,critical alert  a jde_webserver_services component  on gjdeweb07 is in a current state of critical,critical alert  a jde_webserver_services component  on gjdeweb07 is in a current state of critical
Alert: CPU Utilization on GJDEWEB04 is Critical,alert cpu utilization on gjdeweb04 is critical,alert cpu utilization on gjdeweb04 is critical
Alert: CPU Utilization in GJDEWEB07 is Critical	,alert cpu utilization in gjdeweb07 is critical	,alert cpu utilization in gjdeweb07 is critical	
Alert: CPU Utilization on tcmqa03-ws01.tcmis.com is Critical,alert cpu utilization on tcmqa03ws01tcmiscom is critical,alert cpu utilization on tcmqa03ws01tcmiscom is critical
Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning,alert memory utilization on tcmprdws07tcmiscom is warning,alert memory utilization on tcmprdws07tcmiscom is warning
 NODE ALERT: ITEST2.WESCOHQ.COM is Down, node alert itest2wescohqcom is down, node alert itest2wescohqcom is down
Alert: CPU Utilization on GJDEWEB07 is Critical,alert cpu utilization on gjdeweb07 is critical,alert cpu utilization on gjdeweb07 is critical
 NODE ALERT: VALJDELOG01 has rebooted, node alert valjdelog01 has rebooted, node alert valjdelog01 has rebooted
TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down,tier 3  critical device down cnhanc1111r01wescoaircraftcom is down,tier 3  critical device down cnhanc1111r01wescoaircraftcom is down
ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down,alert  a m5 monitoring tomcat component  on tcmprdws07tcmiscom is down,alert  a m5 monitoring tomcat component  on tcmprdws07tcmiscom is down
 NODE ALERT: DEVJDEJAS2 has rebooted, node alert devjdejas2 has rebooted, node alert devjdejas2 has rebooted
 NODE ALERT: AUSOFF-FILE01 is Down, node alert ausofffile01 is down, node alert ausofffile01 is down
Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down,critical alert  a tcmis services 20 component  on tcmprdws07tcmiscom is down,critical alert  a tcmis services 20 component  on tcmprdws07tcmiscom is down
 NODE ALERT: yokneam-wds is Down, node alert yokneamwds is down, node alert yokneamwds is down
 NODE ALERT: YOKNEAM-DC01 is Down, node alert yokneamdc01 is down, node alert yokneamdc01 is down
 NODE ALERT: YOKNEAM-FILE01 is Down, node alert yokneamfile01 is down, node alert yokneamfile01 is down
ESX ALERT: yokneam-esx01.haasgroupintl.com is Down,esx alert yokneamesx01haasgroupintlcom is down,esx alert yokneamesx01haasgroupintlcom is down
Warning Alert: Memory Utilization on SGSVSFS1 is : 97 %,warning alert memory utilization on sgsvsfs1 is  97 ,warning alert memory utilization on sgsvsfs1 is  97 
Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down,critical alert  a distributed file system dfs component  on ausdfs01 is in a current state of down,critical alert  a distributed file system dfs component  on ausdfs01 is in a current state of down
Warning ALERT:  SQL Components component  on gbdvssq0 shows Warning,warning alert  sql components component  on gbdvssq0 shows warning,warning alert  sql components component  on gbdvssq0 shows warning
 NODE ALERT: INBA-DC1 is Down, node alert inbadc1 is down, node alert inbadc1 is down
Alert: CPU Utilization on G-OPTIOPD is Warning	,alert cpu utilization on goptiopd is warning	,alert cpu utilization on goptiopd is warning	
Alert: CPU Utilization on tcmdev-ora01 is Warning,alert cpu utilization on tcmdevora01 is warning,alert cpu utilization on tcmdevora01 is warning
ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 14 % is available,alert disk space on ausveeamcon01c label dae3f737 has currently 14  is available,alert disk space on ausveeamcon01c label dae3f737 has currently 14  is available
Warning Alert: Memory Utilization on GBVVSSQ10 is : 95 %,warning alert memory utilization on gbvvssq10 is  95 ,warning alert memory utilization on gbvvssq10 is  95 
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Critical,critical alert  a jde_webserver_services component  on gjdeweb01 is in a current state of critical,critical alert  a jde_webserver_services component  on gjdeweb01 is in a current state of critical
Warning Alert: Memory Utilization on ECOMDEVWEBVS01 is : 94 %,warning alert memory utilization on ecomdevwebvs01 is  94 ,warning alert memory utilization on ecomdevwebvs01 is  94 
 NODE ALERT: GJDEWEB04 has rebooted, node alert gjdeweb04 has rebooted, node alert gjdeweb04 has rebooted
Alert: CPU Utilization in GJDEWEB01 is Critical	,alert cpu utilization in gjdeweb01 is critical	,alert cpu utilization in gjdeweb01 is critical	
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB04 is in a current state of: Down,critical alert  a jde_webserver_services component  on gjdeweb04 is in a current state of down,critical alert  a jde_webserver_services component  on gjdeweb04 is in a current state of down
 NODE ALERT: GJDEWEB07 has rebooted, node alert gjdeweb07 has rebooted, node alert gjdeweb07 has rebooted
"Group Alert: Network Team Tickets: WAP - West Chester - AMER - 1475 Phoenixvil?le Pike Suite 100, West Chester, PA 19380, USA Down",group alert network team tickets wap  west chester  amer  1475 phoenixville pike suite 100 west chester pa 19380 usa down,group alert network team tickets wap  west chester  amer  1475 phoenixville pike suite 100 west chester pa 19380 usa down
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Down,critical alert  a jde_webserver_services component  on gjdeweb07 is in a current state of down,critical alert  a jde_webserver_services component  on gjdeweb07 is in a current state of down
TIER 3 - Critical Device Down: US-GOL-891-RAY-R01.wescoaircraft.com is Down,tier 3  critical device down usgol891rayr01wescoaircraftcom is down,tier 3  critical device down usgol891rayr01wescoaircraftcom is down
 NODE ALERT: GJDEWEB08 has rebooted, node alert gjdeweb08 has rebooted, node alert gjdeweb08 has rebooted
Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down
Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,alert cpu utilization on ausesx17haasgroupintlcom is warning	,alert cpu utilization on ausesx17haasgroupintlcom is warning	
Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning,alert memory utilization on tcmprdhaasr05tcmiscom is warning,alert memory utilization on tcmprdhaasr05tcmiscom is warning
NODE Down ALERT: XA6501 is Down,node down alert xa6501 is down,node down alert xa6501 is down
NODE Down ALERT: XA6540 is Down,node down alert xa6540 is down,node down alert xa6540 is down
Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,warning alert memory utilization on gbvfsmo0 is  94 ,warning alert memory utilization on gbvfsmo0 is  94 
Alert: CPU Utilization on GJDEWEB01 is Critical,alert cpu utilization on gjdeweb01 is critical,alert cpu utilization on gjdeweb01 is critical
 NODE ALERT: GJDEWEB01 has rebooted, node alert gjdeweb01 has rebooted, node alert gjdeweb01 has rebooted
Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Down,critical alert  a jde_webserver_services component  on gjdeweb01 is in a current state of down,critical alert  a jde_webserver_services component  on gjdeweb01 is in a current state of down
Critical ALERT:  A Baseline Services_Windows component  on GJDEWEB01 is in a current state of: Down,critical alert  a baseline services_windows component  on gjdeweb01 is in a current state of down,critical alert  a baseline services_windows component  on gjdeweb01 is in a current state of down
ALERT: DISK SPACE on XA6517-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on xa6517c label 88e6af70 has currently 19  is available,alert disk space on xa6517c label 88e6af70 has currently 19  is available
Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,alert cpu utilization on wdiprdcml01haasgroupintlcom is critical,alert cpu utilization on wdiprdcml01haasgroupintlcom is critical
Alert: CPU Utilization on G-OPTIOPD is Critical	,alert cpu utilization on goptiopd is critical	,alert cpu utilization on goptiopd is critical	
TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier 3  critical device down frtartz300f01 is down,tier 3  critical device down frtartz300f01 is down
Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down,critical alert  a microsoft iis component  on gmoveitt1 is in a current state of down
ALERT: DISK SPACE on XA6521-C:\ Label: 88E6AF70 has currently 17 % is available,alert disk space on xa6521c label 88e6af70 has currently 17  is available,alert disk space on xa6521c label 88e6af70 has currently 17  is available
Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,critical alert memory utilization on gbvvsms4 is  99 ,critical alert memory utilization on gbvvsms4 is  99 
TIER 3 - Critical Device Down: IN-BAN-2960S-S01.wescoaircraft.com is Down,tier 3  critical device down inban2960ss01wescoaircraftcom is down,tier 3  critical device down inban2960ss01wescoaircraftcom is down
TIER 3 - Critical Device Down: IN-BAN-2921-R01.wescoaircraft.com is Down,tier 3  critical device down inban2921r01wescoaircraftcom is down,tier 3  critical device down inban2921r01wescoaircraftcom is down
Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %,warning alert memory utilization on gbvvsms4 is  95 ,warning alert memory utilization on gbvvsms4 is  95 
Alert: Memory Utilization on infdemo-ora01 is in Critical,alert memory utilization on infdemoora01 is in critical,alert memory utilization on infdemoora01 is in critical
Alert: CPU Utilization on AUS-BI02 is Critical	,alert cpu utilization on ausbi02 is critical	,alert cpu utilization on ausbi02 is critical	
Alert: Memory Utilization on tcmprd-ws05.tcmis.com is warning,alert memory utilization on tcmprdws05tcmiscom is warning,alert memory utilization on tcmprdws05tcmiscom is warning
ALERT: DISK SPACE on TXAU-SQL1902-G:\ Label:Backups 941DA743 has currently 14 % is available,alert disk space on txausql1902g labelbackups 941da743 has currently 14  is available,alert disk space on txausql1902g labelbackups 941da743 has currently 14  is available
Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,warning alert memory utilization on gbvvscl3 is  94 ,warning alert memory utilization on gbvvscl3 is  94 
Alert: CPU Utilization on aus-esx13.haasgroupintl.com is Warning	,alert cpu utilization on ausesx13haasgroupintlcom is warning	,alert cpu utilization on ausesx13haasgroupintlcom is warning	
Warning Alert: Memory Utilization on GBVVSHR0 is : 94 %,warning alert memory utilization on gbvvshr0 is  94 ,warning alert memory utilization on gbvvshr0 is  94 
Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning,alert memory utilization on tcmprdhaasr02tcmiscom is warning,alert memory utilization on tcmprdhaasr02tcmiscom is warning
Warning Alert: Memory Utilization on GBDVSMS0 is : 96 %,warning alert memory utilization on gbdvsms0 is  96 ,warning alert memory utilization on gbdvsms0 is  96 
 NODE ALERT: GBVVSFS3 is Down, node alert gbvvsfs3 is down, node alert gbvvsfs3 is down
