resolver,summary,Cleaned_Column,topic_percent,topic,top_words
Linux Support,Alert: Memory Utilization on tcmprd-ws07.tcmis.com is warning,alert memory utilization on  is warning,69.06970673210922,6,memory-warning
JDE CNC Technical, NODE ALERT: ITEST2.WESCOHQ.COM is Down, node alert  is down,60.40580872011787,3,node-alert
Windows Support,Alert: CPU Utilization on GJDEWEB07 is Critical,alert cpu utilization on  is critical,69.22142522263883,8,cpu-utilization
JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted, node alert  has rebooted,65.06805654447163,3,node-alert
Network Support,TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws07.tcmis.com is Down,alert  a  monitoring tomcat component  on  is down,67.71139693684177,7,available-space
JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted, node alert  has rebooted,65.06805654447163,3,node-alert
Windows Support, NODE ALERT: AUSOFF-FILE01 is Down, node alert  is down,60.40580872011787,3,node-alert
Linux Support,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws07.tcmis.com is Down,critical alert  a tcmis services  component  on  is down,69.2495581513997,1,device-tier
Windows Support, NODE ALERT: yokneam-wds is Down, node alert yokneamwds is down,62.740964229238415,3,node-alert
Windows Support, NODE ALERT: YOKNEAM-DC01 is Down, node alert  is down,60.40580872011787,3,node-alert
Windows Support, NODE ALERT: YOKNEAM-FILE01 is Down, node alert  is down,60.40580872011787,3,node-alert
Windows Support,ESX ALERT: yokneam-esx01.haasgroupintl.com is Down,esx alert  is down,58.66862220621191,9,component-current
Windows Support,Warning Alert: Memory Utilization on SGSVSFS1 is : 97 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Windows Support,Critical ALERT:  A Distributed File System (DFS) component  on AUS-DFS01 is in a current state of: Down,critical alert  a distributed file system dfs component  on  is in a current state of down,74.52515648146512,7,available-space
MS SQL Database Support,Warning ALERT:  SQL Components component  on gbdvssq0 shows Warning,warning alert  sql components component  on  shows warning,56.98621156616981,0,component-jde_webserver_services
Windows Support, NODE ALERT: INBA-DC1 is Down, node alert  is down,60.40580872011787,3,node-alert
Windows Support,Alert: CPU Utilization on G-OPTIOPD is Warning	,alert cpu utilization on goptiopd is warning	,39.1432141005844,5,warning-cpu
Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Warning,alert cpu utilization on  is warning,69.2179321829216,5,warning-cpu
Windows Support,ALERT: DISK SPACE on AUS-VEEAM-CON01-C:\ Label: DAE3F737 has currently 14 % is available,alert disk space on  label  has currently   is available,73.05062371521308,7,available-space
Windows Support,Warning Alert: Memory Utilization on GBVVSSQ10 is : 95 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Critical,critical alert  a jde_webserver_services component  on  is in a current state of critical,72.46666090069512,0,component-jde_webserver_services
Windows Support,Warning Alert: Memory Utilization on ECOMDEVWEBVS01 is : 94 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
JDE CNC Technical, NODE ALERT: GJDEWEB04 has rebooted, node alert  has rebooted,65.06805654447163,3,node-alert
JDE CNC Technical,Alert: CPU Utilization in GJDEWEB01 is Critical	,alert cpu utilization in  is critical	,69.22142522263883,8,cpu-utilization
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB04 is in a current state of: Down,critical alert  a jde_webserver_services component  on  is in a current state of down,71.99263874036106,0,component-jde_webserver_services
JDE CNC Technical, NODE ALERT: GJDEWEB07 has rebooted, node alert  has rebooted,65.06805654447163,3,node-alert
Network Support,"Group Alert: Network Team Tickets: WAP - West Chester - AMER - 1475 Phoenixvil?le Pike Suite 100, West Chester, PA 19380, USA Down",group alert network team tickets wap  west chester  amer   phoenixville pike suite  west chester pa  usa down,56.550550047327555,2,group-network
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB07 is in a current state of: Down,critical alert  a jde_webserver_services component  on  is in a current state of down,71.99263874036106,0,component-jde_webserver_services
Network Support,TIER 3 - Critical Device Down: US-GOL-891-RAY-R01.wescoaircraft.com is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
JDE CNC Technical, NODE ALERT: GJDEWEB08 has rebooted, node alert  has rebooted,65.06805654447163,3,node-alert
Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down,73.81056435333,9,component-current
Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,alert cpu utilization on  is warning	,69.2179321829216,5,warning-cpu
Linux Support,Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning,alert memory utilization on  is warning,69.06970673210922,6,memory-warning
Citrix Support,NODE Down ALERT: XA6501 is Down,node down alert  is down,60.40580872011787,3,node-alert
Citrix Support,NODE Down ALERT: XA6540 is Down,node down alert  is down,60.40580872011787,3,node-alert
Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Windows Support,Alert: CPU Utilization on GJDEWEB01 is Critical,alert cpu utilization on  is critical,69.22142522263883,8,cpu-utilization
JDE CNC Technical, NODE ALERT: GJDEWEB01 has rebooted, node alert  has rebooted,65.06805654447163,3,node-alert
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Down,critical alert  a jde_webserver_services component  on  is in a current state of down,71.99263874036106,0,component-jde_webserver_services
Windows Support,Critical ALERT:  A Baseline Services_Windows component  on GJDEWEB01 is in a current state of: Down,critical alert  a baseline services_windows component  on  is in a current state of down,74.14507933174015,9,component-current
Citrix Support,ALERT: DISK SPACE on XA6517-C:\ Label: 88E6AF70 has currently 19 % is available,alert disk space on  label  has currently   is available,73.05062371521308,7,available-space
Linux Support,Alert: CPU Utilization on wdiprd-cml01.haasgroupintl.com is Critical,alert cpu utilization on  is critical,69.22142522263883,8,cpu-utilization
Windows Support,Alert: CPU Utilization on G-OPTIOPD is Critical	,alert cpu utilization on goptiopd is critical	,38.73480248295309,0,component-jde_webserver_services
Network Support,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,critical alert  a microsoft iis component  on  is in a current state of down,73.81056435333,9,component-current
Citrix Support,ALERT: DISK SPACE on XA6521-C:\ Label: 88E6AF70 has currently 17 % is available,alert disk space on  label  has currently   is available,73.05062371521308,7,available-space
Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,critical alert memory utilization on  is   ,68.91995482581358,6,memory-warning
Network Support,TIER 3 - Critical Device Down: IN-BAN-2960S-S01.wescoaircraft.com is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
Network Support,TIER 3 - Critical Device Down: IN-BAN-2921-R01.wescoaircraft.com is Down,tier   critical device down  is down,66.3343138444355,1,device-tier
Windows Support,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Linux Support,Alert: Memory Utilization on infdemo-ora01 is in Critical,alert memory utilization on  is in critical,68.91995482581358,6,memory-warning
Windows Support,Alert: CPU Utilization on AUS-BI02 is Critical	,alert cpu utilization on  is critical	,69.22142522263883,8,cpu-utilization
Linux Support,Alert: Memory Utilization on tcmprd-ws05.tcmis.com is warning,alert memory utilization on  is warning,69.06970673210922,6,memory-warning
Windows Support,ALERT: DISK SPACE on TXAU-SQL1902-G:\ Label:Backups 941DA743 has currently 14 % is available,alert disk space on  labelbackups  has currently   is available,46.82011041021628,7,available-space
Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Windows Support,Alert: CPU Utilization on aus-esx13.haasgroupintl.com is Warning	,alert cpu utilization on  is warning	,69.2179321829216,5,warning-cpu
Windows Support,Warning Alert: Memory Utilization on GBVVSHR0 is : 94 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Linux Support,Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is warning,alert memory utilization on  is warning,69.06970673210922,6,memory-warning
Windows Support,Warning Alert: Memory Utilization on GBDVSMS0 is : 96 %,warning alert memory utilization on  is   ,69.06970673210922,6,memory-warning
Windows Support, NODE ALERT: GBVVSFS3 is Down, node alert  is down,60.40580872011787,3,node-alert
Linux Support,Alert: Memory Utilization on infdemo-ora01 is in Critical,alert memory utilization on  is in critical,68.91995482581358,6,memory-warning
Windows Support,Alert: CPU Utilization on usauitadmust01 is Critical	,alert cpu utilization on  is critical	,69.22142522263883,8,cpu-utilization
JDE CNC Technical,Alert: Memory Utilization on GJDEWEB01 is in warning,alert memory utilization on  is in warning,69.06970673210922,6,memory-warning
Windows Support,Alert: CPU Utilization on AUS-MCL01 is Warning	,alert cpu utilization on  is warning	,69.2179321829216,5,warning-cpu
Linux Support,Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning,alert memory utilization on  is warning,69.06970673210922,6,memory-warning
