resolver grp,summary,num,prio
JDE CNC Technical, NODE ALERT: VALJDELOG01 has rebooted,INC0116605,4 - Low
JDE CNC Technical, NODE ALERT: DEVJDEJAS2 has rebooted,INC0116606,4 - Low
Network Support,TIER 3 - Critical Device Down: US-EUC-C1111-R01.wescoaircraft.com is Down,INC0116607,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on gbdvssq0 is : 95 %,INC0116609,3 - Moderate
Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Warning,INC0116612,4 - Low
Windows Support,Warning Alert: Memory Utilization on GBVFSMO0 is : 94 %,INC0116613,3 - Moderate
Windows Support,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Critical	,INC0116614,2 - High
Windows Support,Alert: CPU Utilization on aus-esx13.haasgroupintl.com is Critical	,INC0116616,2 - High
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB01 is in a current state of: Down,INC0116617,2 - High
JDE CNC Technical, NODE ALERT: GJDEWEB01 has rebooted,INC0116618,4 - Low
JDE CNC Technical, NODE ALERT: GJDEWEB03 has rebooted,INC0116619,4 - Low
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB03 is in a current state of: Down,INC0116620,2 - High
Windows Support,Alert: CPU Utilization on ITMADC is Critical	,INC0116624,2 - High
GEAC Application Support,Critical ALERT:  A GEAC - Print queue monitoring component  on FRTVSFM0 is in a current state of: Critical,INC0116625,2 - High
GEAC Application Support,Critical ALERT:  A GEAC - Print queue monitoring component  on GBDVSFM0 is in a current state of: Critical,INC0116626,2 - High
Windows Support,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %,INC0116635,3 - Moderate
Network Support,TIER 1 - CRITICAL ALERT: Interface Down on US-WIT-9200L-EDGE-S01.wescoaircraft.com,INC0116642,2 - High
Network Support,TIER 1 - CRITICAL ALERT: US-WIT-2960XR-IDF1-S01.wescoaircraft.com is Down,INC0116644,2 - High
MS SQL Database Support,Warning ALERT:  SQL Components component  on gbdvssq0 shows Warning,INC0116645,3 - Moderate
Linux Support,Alert: Memory Utilization on tcmprd-ws06.tcmis.com is warning,INC0116648,3 - Moderate
Network Support,TIER 1 - CRITICAL ALERT: PL-WRO-4351-R02.wescoaircraft.com is Down,INC0116650,2 - High
Network Support,TIER 1 - CRITICAL ALERT: WAN Interface Unreachable on PL-WRO-4351-R02.wescoaircraft.com,INC0116651,2 - High
Citrix Support,ALERT: DISK SPACE on XA6520-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116656,3 - Moderate
Windows Support,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,INC0116657,2 - High
Network Support,"Network Team Tickets: Tier1  - Wroclaw - EMEA - Prologis Park Wroclaw V Building DC8B UI. Ryszarda Chimicza 13E, 55-080 Nowa Wies Wroclawska, Poland",INC0116660,3 - Moderate
Linux Support,Alert: CPU Utilization on tcmdev-ora01 is Critical,INC0116663,3 - Moderate
Network Support,TIER 3 - Critical Device Down: UK-IOW-C1113-R01.wescoaircraft.com is Down,INC0116664,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on GBVVSCL3 is : 95 %,INC0116669,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on G-ECOMWEB1 is : 94 %,INC0116671,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on CAV-SQLDW04 is : 94 %,INC0116673,3 - Moderate
JDE CNC Technical,Alert: Memory Utilization on GJDEWEB01 is in warning,INC0116674,3 - Moderate
Windows Support, NODE ALERT: ADAVIIS01 is Down,INC0116676,2 - High
Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-haasr03.tcmis.com is Down,INC0116683,2 - High
Citrix Support,ALERT: DISK SPACE on XA6510-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116687,3 - Moderate
Windows Support,Critical ALERT:  A Microsoft IIS component  on DC02DWWEC01 is in a current state of: Down,INC0116697,2 - High
Linux Support,Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is in Critical,INC0116698,2 - High
Linux Support,ALERT:  A ADC _sabrix _URL _monitoring component  on ws1.tcmis.com is Down,INC0116702,2 - High
Citrix Support,ALERT: DISK SPACE on XA6519-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116709,3 - Moderate
Network Support,TIER 3 - Critical Device Down: UK-RED-TZ300-F01 is Down,INC0116710,3 - Moderate
Windows Support,Warning Alert: Memory Utilization on GBVVSDS0 is : 94 %,INC0116712,3 - Moderate
Windows Support, NODE ALERT: GBVVSDE0 is Down,INC0116713,2 - High
Windows Support,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,INC0116721,2 - High
Windows Support,Alert: CPU Utilization on AUS-BI01 is Critical	,INC0116723,3 - Moderate
Linux Support,Alert: Memory Utilization on tcmprd-haasr05.tcmis.com is warning,INC0116727,3 - Moderate
Network Support,TIER 3 - Critical Device Down: CN-XIA-C1111-R01.wescoaircraft.com is Down,INC0116728,3 - Moderate
Linux Support,Alert: Memory Utilization on secprd-tenable06.haasgroupintl.com is warning,INC0116729,3 - Moderate
GEAC Application Support,Critical ALERT:  A GEAC - Print queue monitoring component  on GBSVSFM0 is in a current state of: Critical,INC0116731,2 - High
Network Support,TIER 3 - Critical Device Down: US-STL-891-BOE-R02.wescoaircraft.com is Down,INC0116738,3 - Moderate
Citrix Support,ALERT: DISK SPACE on XA6501-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116740,3 - Moderate
Network Support,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - Xi'an - APAC - Level 2 Unit B No. 5 Lantian Road, Yanliang, Xian, China",INC0116741,3 - Moderate
MS SQL Database Support,Warning ALERT:  SQL Components component  on GBDVSMS0 shows Warning,INC0116745,3 - Moderate
Citrix Support,ALERT: DISK SPACE on XA6504-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116748,3 - Moderate
JDE CNC Technical,Alert: CPU Utilization in GJDEWEB08 is Critical	,INC0116752,2 - High
Citrix Support,ALERT: DISK SPACE on XA6508-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116762,3 - Moderate
Citrix Support,ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available,INC0116764,3 - Moderate
Citrix Support,ALERT: DISK SPACE on XA6530-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116765,3 - Moderate
Citrix Support,ALERT: DISK SPACE on XA6512-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116766,3 - Moderate
Citrix Support,ALERT: DISK SPACE on XA6518-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116772,3 - Moderate
Linux Support,Alert: Memory Utilization on infprd-rdeck01.haasgroupintl.com is warning,INC0116773,3 - Moderate
Citrix Support,ALERT: DISK SPACE on XA6527-C:\ Label: 88E6AF70 has currently 19 % is available,INC0116775,3 - Moderate
Linux Support,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws04.tcmis.com is Down,INC0116776,2 - High
Windows Support, NODE ALERT: ADAVIIS01 is Down,INC0116780,2 - High
Citrix Support,ALERT: DISK SPACE on XA6522-C:\ Label: 88E6AF70 has currently 20 % is available,INC0116784,3 - Moderate
JDE CNC Technical,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB08 is in a current state of: Critical,INC0116797,2 - High
Windows Support,Alert: CPU Utilization on ITMADC is Critical	,INC0116806,3 - Moderate
